iso2,iso3,country,year,imf_url,press_release_url,status,title,pdf_path,text_path,first_snippet,notes,eba_text_path,eba_snippet,eba_status,summary_path,summary_snippet,summary_status
DJ,DJI,Djibouti,2025,https://www.imf.org/en/publications/cr/issues/2025/09/22/djibouti-2025-article-iv-consultation-press-release-and-staff-report-570614,https://www.imf.org/en/news/articles/2025/09/11/pr25292-djibouti-imf-executive-board-concludes-2025-article-iv-consultation,pending,,,,,,,,,data\text\DJ\2025_summary.txt,"Djibouti's investment-focused strategy has propelled average growth rates to about 6 percent over the past decade, leading to a doubling of GDP per capita. However, substantial public investment coupled with declining revenues and rising debt service have constrained fiscal space and put pressure on debt sustainability. In 2024, growth remained strong at about 6½ percent, driven by robust transshipment amid Red Sea maritime disruptions. Inflation was moderate, and fiscal and reserve positions improved following temporary overruns. The authorities are pursuing fiscal consolidation and debt negotiations to restore debt sustainability and strengthen reserves.",summary_extracted
MX,MEX,Mexico,2025,https://www.imf.org/en/publications/cr/issues/2025/10/27/mexico-2025-article-iv-consultation-press-release-staff-report-and-statement-by-the-571378,https://www.imf.org/en/news/articles/2025/10/27/pr-25350-mexico-imf-executive-board-concludes-2025-article-iv-consultation,pending,,,,,,,,,data\text\MX\2025_summary.txt,"Economic activity has been soft since mid-2024 as the economy confronted capacity constraints, fiscal consolidation, and restrictive monetary policy. U.S. tariffs added to these headwinds, primarily through uncertainty eroding consumption and investment. This has all resulted in subdued growth in 2025. Inflation has moderated but underlying pressures have not been fully resolved.",summary_extracted
US,USA,United States,2024,https://www.imf.org/en/publications/cr/issues/2024/07/18/united-states-2024-article-iv-consultation-press-release-staff-report-and-statement-by-the-552100,,pending,,,,,,,,,data\text\US\2024_summary.txt,"The 2024 Article IV Consultation highlights that the US economy has turned in a strong performance over the past few years. Hysteresis effects from the pandemic did not materialize and both activity and employment now exceed pre-pandemic expectations. Real incomes were diminished by the unexpected rise in inflation in 2022 but have now risen above pre-pandemic levels. Job growth has been particularly fast with 16 million new jobs created since end-2020. However, income and wealth gains have been uneven across the income distribution and poverty remains high, particularly following the expiration of pandemic-era support. Despite the important progress in returning inflation toward its 2 percent goal, the Federal Reserve should wait to reduce its policy rate until at least late 2024. With the economy humming along at an impressive rate the US has not paid a high cost to current monetary policy settings. The evidence suggests that the US economy has largely returned to balance. Labor markets imbalances have been mostly resolved with the economy now appearing to be operating slightly above maximum employment.",summary_extracted
DO,DOM,Dominican Republic,2024,https://www.imf.org/en/publications/cr/issues/2024/09/12/dominican-republic-2024-article-iv-consultation-press-release-and-staff-report-554787,,pending,,,,,,,,,data\text\DO\2024_summary.txt,"The 2024 Article IV Consultation explains that a track record of sound policies and institutional policy frameworks has helped the Dominican Republic achieve robust and resilient economic growth and low inflation over the last two decades. Effective policies contributed to a growth moderation that appropriately supported inflation’s rapid and sustained return to its target last year and then aided the recovery, while close monitoring of the financial sector supported macro-financial stability. Planned enhancements to policy frameworks and deepening structural reforms—in particular, comprehensive fiscal and electricity reforms—have the potential to further support stability, competitiveness, and inclusive growth. The financial sector remains resilient and well capitalized, and efforts to bring the regulatory framework up to the latest international standards should continue. The fiscal policy framework and spending and revenue efficiency can be further enhanced by continued improvements to public financial management and further strengthening of revenue administration. Reforms to education and the labor market, alongside further improvements to social outcomes and implementation of climate adaptation and mitigation policies will be critical to support inclusive and resilient growth and continue to reduce vulnerabilities.",summary_extracted
NI,NIC,Nicaragua,2023,https://www.imf.org/en/publications/cr/issues/2024/01/19/nicaragua-2023-article-iv-consultation-press-release-and-staff-report-543914,,pending,,,,,,,,,data\text\NI\2023_summary.txt,"The 2023 Article IV Consultation highlights that Nicaragua’s economy has remained resilient in the face of multiple shocks, supported by appropriate economic policies, substantial buffers, and multilateral support. The external and fiscal positions are assessed to be sustainable under the baseline scenario, given the current policy mix and financing plans. In 2024 and the medium-term real Gross domestic Product (GDP) growth is expected to converge to potential sustained by domestic demand and remittances. Risks to this outlook include on the upside higher than projected real GDP growth due to sustained recovery in the domestic demand and remittances, especially in the near term, and on the downside a deterioration in the terms of trade, a more severe global downturn than currently incorporated into the baseline scenario, natural disasters, and stricter international sanctions. The report suggests investing in human capital and infrastructure; implementing policies to raise labor force participation and enhance the business environment by strengthening government institutions and frameworks in the areas of contract enforcement, protecting property rights, and resolving insolvencies.",summary_extracted
CL,CHL,Chile,2024,https://www.imf.org/en/publications/cr/issues/2025/02/04/chile-2024-article-iv-consultation-press-release-and-staff-report-561588,,pending,,,,,,,,,data\text\CL\2024_summary.txt,"The 2024 Article IV Consultation with Chile discusses that the economy is broadly balanced but external risks are elevated. Chile’s macroeconomic position is sound due to its very strong fundamentals, policies, and policy frameworks. Lifting Chile’s growth potential is a must to raise living standards and tackle social and fiscal pressures. The goal of a broadly balanced fiscal position by 2027 remains appropriate but has become more challenging. Continuous enhancements to Chile’s already very strong fiscal framework would foster fiscal policy formulation and transparency. A pension reform is essential to ensure adequate pensions and address the fiscal costs of population aging. Raising contribution rates and the number of contribution periods is vital for sustainably self-financing old-age pensions. The minimum guaranteed pension has strengthened the system’s solidarity, increased replacement ratios, and reduced old-age poverty, but it also incurs high fiscal costs. The financial system remains resilient despite rising vulnerabilities related to the real estate sector and lower financial market depth.",summary_extracted
KH,KHM,Cambodia,2023,https://www.imf.org/en/publications/cr/issues/2024/01/29/cambodia-2023-article-iv-consultation-press-release-and-staff-report-544276,,pending,,,,,,,,,data\text\KH\2023_summary.txt,"Cambodia has experienced rapid growth over the past decade, outpacing many regional peers. Growth was driven by industrialization, increased foreign direct investment, and a surge in exports, particularly in labor-intensive manufacturing. The economy underwent significant structural shifts and has made strides in poverty reduction. However, the COVID-19 pandemic caused significant setbacks and may have left longer-term scarring. The challenges ahead are to sustain inclusive growth, diversify exports, and navigate potential headwinds from China's slowing growth.",summary_extracted
KZ,KAZ,Kazakhstan,2024,https://www.imf.org/en/publications/cr/issues/2025/01/31/republic-of-kazakhstan-2024-article-iv-consultation-press-release-and-staff-report-561424,,pending,,,,,,,,,data\text\KZ\2024_summary.txt,"The 2024 Article IV Consultation discusses that after reaching 5.1 percent in 2023, Kazakhstan’s economic growth has remained robust in 2024, and inflation has continued to decline gradually. The banking sector remains resilient amid continued rapid consumer credit growth. In the medium term, growth is projected to stabilize at about 3½ percent, while inflation would ease. Recurrent fiscal underperformance requires measures to avoid fiscal procyclicality and strengthen the fiscal policy framework. Such measures would also help to meet the authorities’ objective of fiscal consolidation and maintain a balanced external position. Fiscal policy effectiveness also requires public sector data that are better aligned with international standards and a more rules-based and transparent policy framework, including by reducing off-budget spending and the continued reliance on discretionary transfers from the National Fund. Structural reform implementation remains slow, with the state footprint growing in some areas, while higher economic growth, diversification and resilience will be important in the current environment, including to address increasingly pressing challenges from climate change.",summary_extracted
AL,ALB,Albania,2023,https://www.imf.org/en/publications/cr/issues/2024/01/12/albania-2023-article-iv-consultation-press-release-and-staff-report-543731,,pending,,,,,,,,,data\text\AL\2023_summary.txt,"The 2023 Article IV Consultation discusses that the Albanian economy has shown remarkable resilience in the face of consecutive shocks. Returning inflation to target will likely require some further increases in the policy rate. The rising role of tourism has boosted confidence in the country’s prospects, a factor partly reflected in the steady appreciation of the lek. Elevated gross financing needs and a moderate debt level call for a credible consolidation starting in 2024 and anchored by a sound Medium-Term Revenue Strategy. Revenue measures should be accompanied by spending reallocation to greater outlays on climate adaptation, and education. Further progress in fiscal structural reforms will strengthen the management of public finances, investment, and fiscal risks. With real rates negative and below neutral, there is scope to further increase policy rates to ensure inflation converges to target by early 2025, but high uncertainty calls for a flexible and data-driven approach to policy settings. Supply-side policies that tackle corruption develop and retain human capital, boost female labor force participation and close infrastructure gaps would amplify gains from sound and prudent policies and bolster long-term growth.",summary_extracted
SA,SAU,Saudi Arabia,2024,https://www.imf.org/en/publications/cr/issues/2024/09/03/saudi-arabia-2024-article-iv-consultation-press-release-staff-report-and-informational-annex-554530,,pending,,,,,,,,,data\text\SA\2024_summary.txt,Saudi Arabia’s unprecedented economic transformation is progressing well. Strong domestic demand is keeping non-oil growth robust while unemployment is at record lows. Inflation is contained and the current account surplus is rapidly narrowing. The recalibration of the authorities’ investment plans would help reduce overheating risks and pressures on fiscal and external accounts.,summary_extracted
